,Zip,Population,Area,Min commute,School score
137,95439,513,2,,
138,95403,30269,13,,
139,95448,16998,199,,
140,95441,2747,101,,
141,94970,778,0,97.0,
142,94938,279,2,85.0,
143,94963,790,4,78.0,45.7
144,94930,8151,28,65.0,66.4
145,94973,1550,5,80.0,
146,94941,27745,31,58.0,81.4
147,94960,15180,7,65.0,75.1
148,94121,40559,2,35.0,69.0
149,94965,9995,6,40.0,36.6
150,94122,52828,4,28.0,60.2
151,94129,4715,2,,
152,94118,38328,1,25.0,67.1
153,94117,38311,1,14.0,56.2
154,94114,30577,1,14.0,35.7
155,94115,28660,1,17.0,46.6
156,94123,23297,1,25.0,69.7
157,94939,5832,1,53.0,55.8
158,94925,8010,2,48.0,77.6
159,94904,11869,5,72.0,75.4
160,94901,41516,13,57.0,38.7
161,94920,11011,5,58.0,80.0
162,94947,22715,15,87.0,49.3
163,94945,15519,34,85.0,53.0
164,94954,27544,71,,
165,94903,25465,20,60.0,57.3
166,94949,16281,15,82.0,49.9
167,95476,30493,107,,
168,94110,71118,2,17.0,31.3
169,94102,26793,0,,
170,94103,17813,1,8.0,30.1
171,94107,11977,2,16.0,42.2
172,94109,49482,1,13.0,50.6
173,94108,14230,0,17.0,56.9
174,94133,27331,0,28.0,60.8
175,94104,750,0,,
176,94105,2083,0,,
177,94111,2997,0,,
178,94130,4537,0,,
179,94607,21240,6,40.0,28.7
180,94710,6899,2,47.0,47.2
181,94801,23904,9,75.0,17.1
182,94804,34154,6,77.0,23.4
183,94706,17172,1,55.0,73.7
184,94805,12136,1,72.0,23.8
185,94806,47841,9,90.0,30.0
186,94501,76117,10,55.0,56.5
187,94612,10801,1,52.0,35.6
188,94606,38497,2,58.0,33.8
189,94610,29846,2,55.0,46.1
190,94608,22182,2,48.0,36.1
191,94609,20465,1,52.0,23.1
192,95452,1355,13,,
193,94515,5729,59,,
194,94508,4106,24,,
195,94567,314,26,,
196,94599,1914,2,,
197,94558,57784,465,,
198,94574,9513,156,,
199,94605,38607,8,75.0,26.0
200,94556,15988,18,85.0,82.6
201,94595,16178,6,85.0,72.3
202,94549,26284,23,75.0,82.3
203,94596,38328,10,85.0,73.4
204,94523,31019,7,90.0,52.2
205,94583,35475,25,90.0,74.8
206,94507,8759,8,85.0,79.1
207,94526,40497,46,90.0,71.5
208,94528,770,0,90.0,
209,94598,23901,9,100.0,64.5
210,94518,25538,5,95.0,28.7
211,94519,19072,5,100.0,28.2
212,94521,38887,23,110.0,42.8
213,94510,24538,28,100.0,49.1
214,94520,31586,22,105.0,20.7
215,94565,63949,32,115.0,24.9
216,94585,31207,211,,
217,94535,9879,7,,
218,94517,10037,134,120.0,66.0
219,94509,62839,29,130.0,22.6
220,94514,5713,54,130.0,34.1
221,94513,12273,67,125.0,47.6
222,94548,143,1,130.0,34.8
223,94512,15,8,,
224,94561,21115,66,130.0,34.8
225,94571,4467,202,,
226,94533,65381,35,,
227,95687,50228,45,,
228,95688,29057,110,,
229,95620,14471,197,,
230,95020,39904,167,,
231,95046,5747,17,,
232,95037,31301,233,120.0,44.9
233,95140,24,156,135.0,
234,94702,15102,1,52.0,45.8
235,94703,18308,1,48.0,59.5
236,94709,9968,0,67.0,65.5
237,94618,15620,2,55.0,66.6
238,94704,23487,3,58.0,62.0
239,94705,12050,1,58.0,61.3
240,94601,47838,3,52.0,25.8
241,94602,28480,3,58.0,33.0
242,94613,575,0,,
243,94619,24840,4,75.0,31.7
244,94611,34166,6,62.0,64.6
245,94563,16840,22,55.0,84.2
246,94707,9344,1,63.0,53.4
247,94708,8798,1,67.0,69.4
248,94530,28090,8,65.0,48.1
249,94803,22295,9,85.0,35.3
250,94564,16907,4,90.0,33.2
251,94547,16502,5,95.0,44.3
252,94553,45560,71,100.0,43.3
253,94592,3668,15,100.0,20.4
254,94559,23498,34,,
255,94572,7744,4,95.0,29.0
256,94590,35372,5,98.0,25.1
257,94525,3228,1,90.0,36.2
258,94569,249,0,,
259,94591,43389,17,100.0,32.0
260,94589,37631,32,98.0,28.5
261,94951,4034,16,,
262,95405,20582,5,,
263,95404,31935,103,,
264,95409,22799,34,,
265,95442,5134,26,,
