id,name,host_name,neighbourhood,latitude,longitude,bedrooms,bathrooms,square_feet,property_type,room_type,guests_included,extra_people,minimum_nights,availability_30,availability_90,availability_365,number_of_reviews,review_scores_rating,last_review,reviews_per_month,price,cleaning_fee,security_deposit,monthly_revenue
33134275,Castro Villa Verde,Megumi,The Castro,37.7623,-122.43255,1.0,1.0,,House,Entire home/apt,1,0.0,1,7,33,294,47,95.0,2019-10-02,7.5,250.0,50.0,0.0,20625.0
33135588,Inner Sunset Private Studio|Walk to UCSF & GGPark,Shannon,Inner Sunset,37.76162,-122.46131000000001,1.0,1.0,,Guest suite,Entire home/apt,2,25.0,2,3,52,142,16,100.0,2019-09-25,3.78,169.0,120.0,300.0,7027.0199999999995
33137304,"Light Filled Flat, Modern Design, Mission/Dolores",Heather,Noe Valley,37.751059999999995,-122.42375,1.0,1.0,,Apartment,Entire home/apt,1,0.0,30,0,25,87,1,100.0,2019-09-27,1.0,220.0,239.0,125.0,2420.0
33141021,Beautiful and cozy house near Golden Gate Park,Ekaterina,Outer Sunset,37.76042,-122.48196999999999,2.0,1.5,,House,Entire home/apt,4,10.0,2,0,0,0,3,87.0,2019-09-01,0.48,170.0,30.0,0.0,897.5999999999999
33161371,Bedroom With a View,Trent,Sunnyside,37.73155,-122.44395,1.0,1.0,,House,Private room,1,0.0,2,28,40,295,13,100.0,2019-09-26,2.47,125.0,60.0,500.0,3396.25
33166972,Beautiful castro garden studio,Ashish,The Castro,37.76449,-122.43632,1.0,1.0,,Guesthouse,Entire home/apt,1,25.0,1,5,21,97,64,100.0,2019-10-03,9.5,109.0,65.0,100.0,11390.5
33172422,Bright Private Room A2. Long term stays welcome!,Eric,Bayview,37.732890000000005,-122.39296999999999,1.0,2.0,,House,Private room,1,15.0,30,30,90,365,2,70.0,2019-09-24,1.03,58.0,150.0,1000.0,657.14
33172768,Fleurs et chambre paisley SF | Valencia + Market,StellaMaris,SoMa,37.772290000000005,-122.42201999999999,1.0,1.5,,Condominium,Private room,1,75.0,3,11,48,138,13,98.0,2019-10-08,4.53,75.0,70.0,0.0,3737.2500000000005
33185972,GREAT LOCATION IN FISHERMAN'S WHARF-sleeps 6,Michelle,Fisherman's Wharf,37.805170000000004,-122.42016000000001,2.0,1.0,,Serviced apartment,Entire home/apt,1,0.0,1,4,6,6,7,97.0,2019-09-02,1.62,252.0,0.0,0.0,4490.64
33193799,CHARMING HOUSE WITH SAN FRANCISCO VIEW,Aline,Crocker Amazon,37.70837,-122.43531999999999,3.0,2.0,,House,Entire home/apt,6,80.0,1,0,0,0,1,100.0,2019-08-13,0.48,395.0,150.0,0.0,2085.6
