Address,City,State,Zip,Price,Beds,Baths,Home size,Lot size,Latitude,Longitude
217 Miramontes Ave,Half Moon Bay,CA,94019,1725000,4,2.5,3285,7405,37.464057,-122.441126
655 Santiago Ave,Half Moon Bay,CA,94019,1795000,3,3.5,2180,4848,37.500373,-122.461959
731 El Granada Blvd,El Granada,CA,94019,2198000,4,3.5,4424,8799,37.514695,-122.463044
4 Pinehurst Ln,Half Moon Bay,CA,94019,1459000,3,3,2374,4622,37.436191,-122.433442
688 Silver Ave,Half Moon Bay,CA,94019,1395000,3,2.5,2210,8712,37.476435,-122.430963
251 Granelli Ave,Half Moon Bay,CA,94019,1695000,4,2.5,2940,5502,37.459575,-122.439908
2029 Bordeaux Ln,Half Moon Bay,CA,94019,1299000,5,3,2710,8120,37.485478,-122.444735
14 Pinehurst Ln,Half Moon Bay,CA,94019,1465000,3,2.5,2715,4386,37.436079,-122.432517
324 Garcia Ave,Half Moon Bay,CA,94019,1600000,4,2,2098,8098,37.460368,-122.439957
262 San Clemente Rd,El Granada,CA,94019,1195000,3,2,1480,9901,37.507318,-122.465276
400 Redondo Beach Rd,Half Moon Bay,CA,94019,1349000,3,2,1122,7871,37.440137,-122.433238
28 Pinehurst Ln,Half Moon Bay,CA,94019,1575000,3,2.5,2300,4957,37.435741,-122.4315
2350 Winged Foot Rd,Half Moon Bay,CA,94019,1675000,4,3,2940,8207,37.431633,-122.432273
409 Saint Joseph Ave,Half Moon Bay,CA,94019,1299888,4,2,2060,5998,37.475678,-122.44369
2639 Higgins Canyon Rd,Half Moon Bay,CA,94019,1899000,4,2.5,2470,59241.6,37.438645,-122.391569
127 Carnoustie Dr,Half Moon Bay,CA,94019,2795000,4,4,4214,10018.8,37.439159,-122.436809
123 Ocean Ave,Half Moon Bay,CA,94019,2300000,1,2,2590,2500,37.463629,-122.441864
574 Kelly St,Half Moon Bay,CA,94019,1290000,2,2.5,1676,2474,37.463569,-122.430962
120 Hildebrand Rd,La Honda,CA,94020,2250000,4,3,3972,874684.8,37.325935,-122.262257
137 Shelden Rd,La Honda,CA,94020,699000,3,2,1310,30056.4,37.311694,-122.273913
13940 Pescadero Rd,La Honda,CA,94020,598000,2,1,700,19166.4,37.298959,-122.264164
30 Blind St,La Honda,CA,94020,898000,4,2,1730,26136,37.309328,-122.276524
126 Canada Vis,La Honda,CA,94020,1425000,3,2.5,3080,20473.2,37.319662,-122.269679
7145 LA Honda Rd,La Honda,CA,94020,1599000,1,1,837,444747.6,37.315604,-122.28855
138 Back Rd,La Honda,CA,94020,1750000,3,3.5,2580,192535.2,37.260359,-122.207863
265 Portola State Park Rd,La Honda,CA,94020,2298000,3,2,2720,519235.2,37.267417,-122.209415
8125 LA Honda Rd,La Honda,CA,94020,1249000,4,1,1410,59241.6,37.311208,-122.277887
26460 Taaffe Rd,Los Altos Hills,CA,94022,3650000,4,4.5,4247,43995.6,37.364845,-122.141915
725 University Ave,Los Altos,CA,94022,6800000,5,3,4122,20473.2,37.370134,-122.114851
27861 Natoma Rd,Los Altos Hills,CA,94022,16000000,6,7.5,8680,130680,37.370415,-122.153154
28011 Elena Rd,Los Altos Hills,CA,94022,30000000,6,5.5,8912,2090880,37.383114,-122.155711
