,Unnamed: 0,Address,City,Zip,Beds,Baths,Home size,Lot size,Year built,Garage,Price,Longitude,Latitude,Price per sqft,Price per lot sqft
4110,1384,3054 Florence Ave,San Jose,95127,3,1.0,1326,0.4,1920,1,1099000,-121.826511,37.3626,828.8084464555052,63.07392102846649
4111,4347,684 S Mohler Rd,Ripon,95366,4,3.5,3148,0.308,2019,4,845000,-121.1511477,37.73349542,268.4243964421855,62.98224273430886
4112,2188,590 8th St,Richmond,94801,3,2.0,1244,0.109,1925,0,299000,-122.3616852,37.94011599,240.35369774919613,62.97335321522144
4113,4562,300 Woodland Dr,Ben Lomond,95005,3,2.0,1584,0.319,1965,0,875000,-122.0863379,37.08552964,552.3989898989901,62.96939183801538
4114,4336,3854 Seascape Way,Stockton,95206,3,2.0,1660,0.115,2006,2,315000,-121.2405584,37.9175644,189.75903614457832,62.88178224937118
4115,4824,323 S Mildred Ave,King City,93930,4,2.0,1096,0.115,1960,0,315000,-121.12984,36.20721798,287.4087591240876,62.88178224937118
4116,4668,135 Boulder Brook Dr,Boulder Creek,95006,4,2.5,1407,0.307,1926,0,839000,0.0,0.0,596.3041933191188,62.738728714446815
4117,1835,2921 El Monte Way,Antioch,94509,3,2.0,1222,0.152,1969,2,415000,-121.8285528,37.99455382,339.6072013093289,62.678217582523814
4118,1394,3054 Florence Ave,San Jose,95127,3,1.0,1326,0.403,1920,2,1099950,-121.826511,37.3626,829.5248868778281,62.658504740616166
4119,2555,4725 Morgan Territory Rd,Clayton,94517,0,0.0,3268,1.35,1971,2,3680000,0.0,0.0,1126.0709914320685,62.578648437234285
4120,4348,684 S Mohler,Ripon,95366,45,3.5,3148,0.31,2019,4,845000,-121.1511477,37.73349542,268.4243964421855,62.575905684410074
4121,525,272 Golden Hills Dr,Portola Valley,94028,4,4.0,5550,2.383,1957,3,6495000,-122.2124976,37.38698995,1170.2702702702702,62.570156607466345
4122,756,15 Pilarcitos Ct,Hillsborough,94010,5,4.5,3759,1.45,1976,2,3950000,-122.3593663,37.532965,1050.8113860069168,62.537601722554705
4123,3865,3911 Villa Ave,Clearlake,95422,4,3.0,2560,0.11,2004,2,299500,-122.616622,38.95514342,116.9921875,62.50521746389514
4124,3177,1414 165th Ave,San Leandro,94578,3,1.0,1390,0.202,1925,4,549500,0.0,0.0,395.3237410071943,62.449426760857904
4125,603,320 Klamath Court,Martinez,94553,4,2.0,1631,0.25,1976,2,679900,-122.0898318,37.98676833,416.86082158185167,62.43342516069789
4126,1917,320 Klamath Court,Martinez,94553,4,2.0,1631,0.25,1976,2,679900,-122.0898318,37.98676833,416.86082158185167,62.43342516069789
4127,4014,320 Klamath Court,Martinez,94553,4,2.0,1631,0.25,1976,2,679900,-122.0898318,37.98676833,416.86082158185167,62.43342516069789
