,Unnamed: 0,Address,City,Zip,Beds,Baths,Home size,Lot size,Year built,Garage,Home type,Price,Longitude,Latitude
4409,29,78 Pasatiempo Dr,Santa Cruz,95060,3,3.5,2799,0.63,1977,2,Single Family Residence,1998000,-122.02718855338,37.0098107322409
4410,30,220 Wavecrest Ave,Santa Cruz,95060,5,3.5,3800,0.151,1990,2,Single Family Residence,2000000,-122.055654869431,36.9627492542839
4411,0,977 Alta Oak Way,Gilroy,95020,4,4.0,2819,0.16399999999999998,2003,3,Single Family Residence,965000,-121.578101484414,36.9907906517219
4412,1,7905 Spanish Oak Cir,Gilroy,95020,4,2.5,2133,0.046,2010,2,Single Family Residence,739999,-121.59829596392,37.0114824149167
4413,2,5550 Karen Ct,Gilroy,95020,3,2.5,1908,0.16899999999999998,1978,2,Single Family Residence,799000,-121.571860513829,36.9792906396895
4414,3,9272 El Caminito,Gilroy,95020,3,2.0,1606,0.14,1986,2,Single Family Residence,775000,-121.601415310018,37.0270050699464
4415,4,1075 Ortega Cir,Gilroy,95020,4,2.0,1839,0.157,1975,2,Single Family Residence,775000,-121.590016624746,37.0097420439919
4416,5,3225 Dryden Ave,Gilroy,95020,4,3.5,3727,10.81,1991,3,Single Family Residence,1795000,-121.525762373133,37.0419671701164
4417,6,3315 Dryden Ave,Gilroy,95020,1,1.0,840,1.68,1910,0,Single Family Residence,840000,-121.523345861111,37.0428205555556
4418,7,450 Eden St,Gilroy,95020,4,2.5,1829,0.087,1997,2,Single Family Residence,730000,-121.583723554464,37.0244881739795
4419,8,6600 Tecate Ln,Gilroy,95020,3,2.5,2089,0.084,2015,2,Single Family Residence,735000,-121.5657819,36.9965583
4420,9,1505 Mantelli Dr,Gilroy,95020,4,2.0,1922,0.213,1985,2,Single Family Residence,845000,-121.603556,37.020642
4421,10,1150 Valbusa Dr,Gilroy,95020,4,3.0,1790,0.138,1986,2,Single Family Residence,799000,-121.600500455495,37.0253726563672
4422,11,7970 Kipling Cir,Gilroy,95020,3,2.5,1497,0.055,2005,2,Single Family Residence,659000,-121.585774087736,37.0127827467343
4423,12,7210 Holsclaw Rd,Gilroy,95020,3,1.0,1325,0.214,1950,1,Single Family Residence,3295000,-121.538803696911,37.0119837897208
4424,13,1268 Blue Parrot Ct,Gilroy,95020,5,3.0,2566,0.14400000000000002,1998,2,Single Family Residence,1100000,-121.599955834862,37.0232835364106
4425,14,6635 Angela Ct,Gilroy,95020,4,3.0,2090,0.209,1981,12,Single Family Residence,824900,-121.57154667048,36.9939852626668
4426,15,28 Angra Way,Gilroy,95020,3,2.5,2069,0.065,2015,2,Single Family Residence,699888,-121.5658427,36.9971108
4427,16,2631 Club Dr,Gilroy,95020,5,3.5,3350,0.166,2000,2,Single Family Residence,1259000,-121.617292581496,37.0056744885335
4428,17,7156 Redwood Retreat Rd,Gilroy,95020,1,1.0,768,4.763999999999999,1935,0,Single Family Residence,399000,-121.682539,37.0329879
4429,18,640 Tatum Ave,Gilroy,95020,2,1.0,848,2.83,1940,0,Single Family Residence,1399000,-121.590038605183,37.027128
4430,19,1283 Pheasant Dr,Gilroy,95020,4,2.5,1735,0.124,1994,2,Single Family Residence,759900,-121.604043167569,37.0268968043508
4431,20,770 Carla Way,Gilroy,95020,4,2.0,1532,0.149,1965,2,Single Family Residence,679000,-121.588310703444,37.0211728845557
4432,21,3970 Leavesley Rd,Gilroy,95020,4,3.5,4222,58.644,1991,3,Single Family Residence,16000000,-121.515066852933,37.0442476629615
