,Address,City,Zip,Beds,Baths,Home size,Lot size,Year built,Garage,Home type,Price
10,2160 Alturas Ct,Hollister,95023,4,2.5,3165,0.153,2000,3,Single Family Residence,649950
11,840 Lanini Dr,Hollister,95023,3,2,1900,0.23,1986,2,Single Family Residence,600000
12,2671 Valley View Rd,Hollister,95023,4,3,2200,0.141,1998,2,Single Family Residence,635000
13,355 Linda Dr,Hollister,95023,3,2,2300,0.3,1997,2,Single Family Residence,729000
14,1632 Goldenstar Ct,Hollister,95023,3,2.5,1850,0.124,2019,2,Single Family Residence,623450
15,1665 Goldenstar Ct,Hollister,95023,4,2,2003,0.243,2019,2,Single Family Residence,699310
16,1205 S Ridgemark Dr,Hollister,95023,4,2.5,2600,0.232,1989,2,Single Family Residence,749900
17,1951 Sycamore Ct,Hollister,95023,4,2,1620,0.169,1995,2,Single Family Residence,549900
18,1201 Brighton Dr,Hollister,95023,3,2,1080,0.161,1997,2,Single Family Residence,524900
19,1340 Trieste Dr,Hollister,95023,3,2,1690,0.14,1988,2,Single Family Residence,545000
20,604 Calais Ct,Hollister,95023,5,2.5,2778,0.144,2016,2,Single Family Residence,695000
21,1620 Iris St,Hollister,95023,3,2,1768,0.184,1965,2,Single Family Residence,599000
22,1637 Santana Ranch Dr,Hollister,95023,4,3,2698,0.166,2016,2,Single Family Residence,749000
23,557 Ruben's Ct,Hollister,95023,5,3.5,3309,4.78,2016,5,Single Family Residence,1495000
24,4661 Fairview Rd,Hollister,95023,7,7,5035,16.08,2005,5,Single Family Residence,2800000
25,710 La Baig Dr,Hollister,95023,4,3,1847,0.154,1999,2,Single Family Residence,589000
26,1481 Mcdonald Cir,Hollister,95023,3,2.5,1851,0.196,1999,2,Single Family Residence,608000
27,1870 Carousel Dr,Hollister,95023,4,3,2591,0.145,1999,3,Single Family Residence,670000
28,961 Bonnie View Dr,Hollister,95023,4,3,2300,0.147,2019,2,Single Family Residence,629000
29,2291 Fairhaven Dr,Hollister,95023,3,2.5,2131,0.146,1997,2,Single Family Residence,586800
30,1656 Foxtail Ct,Hollister,95023,4,3,2698,0.124,2016,2,Single Family Residence,719900
0,488 28th Ave,San Mateo,94403,2,1,1260,0.129,1940,2,Single Family Residence,1188000
1,748 Pico Ave,San Mateo,94403,4,3,2510,0.145,1954,2,Single Family Residence,2199000
2,3320 Countryside Dr,San Mateo,94403,3,2.5,2526,0.281,1962,2,Single Family Residence,1988000
3,1235 Homewood Ave,San Mateo,94403,4,3,2925,0.251,1964,2,Single Family Residence,2195000
4,3401 Kettering Ct,San Mateo,94403,4,4,2646,0.234,1955,2,Single Family Residence,2688000
5,3239 Countryside Dr,San Mateo,94403,4,2.5,2470,0.165,1964,2,Single Family Residence,1880000
6,3041 Beverly St,San Mateo,94403,3,3,1976,0.119,1948,1,Single Family Residence,1788000
7,844 Overlook Ct,San Mateo,94403,4,3,2660,0.17,1974,3,Single Family Residence,2599000
8,144 E Hillsdale Blvd,San Mateo,94403,3,2.5,1820,0.138,1945,1,Single Family Residence,1495000
9,1658 S Norfolk St,San Mateo,94403,3,2,1220,0.138,1954,2,Single Family Residence,1424000
10,2334 David Ct,San Mateo,94403,3,2,1060,0.117,1956,2,Single Family Residence,1188000
11,308 Almaden Way,San Mateo,94403,3,2,1490,0.115,1948,1,Single Family Residence,1528000
12,4224 Bettina Ave,San Mateo,94403,4,2,1830,0.152,1957,2,Single Family Residence,1699000
13,423 W 38th Ave,San Mateo,94403,3,2.5,1960,0.19,1949,3,Single Family Residence,2000000
14,519 Madera Dr,San Mateo,94403,2,1,1310,0.165,1951,2,Single Family Residence,1580000
15,1642 Roberta Dr,San Mateo,94403,6,2.5,2220,0.134,1958,2,Single Family Residence,1498000
16,2629 Monterey St,San Mateo,94403,5,3.5,2490,0.158,1959,2,Single Family Residence,2300000
17,4241 Wooster Ave,San Mateo,94403,4,3.5,2700,0.166,1960,2,Single Family Residence,1828000
0,527 E Capistrano Way,San Mateo,94402,2,1.5,1370,0.187,1942,1,Single Family Residence,1675000
1,1318 Rainbow Dr,San Mateo,94402,4,3,1470,0.355,1959,2,Single Family Residence,1898000
2,945 S Grant St,San Mateo,94402,3,2,1476,0.115,1932,1,Single Family Residence,1350000
3,400 Dorchester Rd,San Mateo,94402,5,3,1990,0.213,1948,2,Single Family Residence,2398000
4,1786 Los Altos Dr,San Mateo,94402,4,2.5,2520,0.234,1970,2,Single Family Residence,2098000
5,1070 S Claremont St,San Mateo,94402,2,1,830,0.092,1949,1,Single Family Residence,1038000
6,15 Stoney Point Pl,San Mateo,94402,3,2,1510,0.177,1957,2,Single Family Residence,1328000
7,727 9th Ave,San Mateo,94402,2,1.5,1540,0.15,1929,2,Single Family Residence,1399000
8,4224 Bettina,San Mateo,94402,4,2,1830,0.152,1957,2,Single Family Residence,1699000
9,722 Guildford Ave,San Mateo,94402,3,1,1180,0.103,1947,1,Single Family Residence,1348950
10,401 Colgate Way,San Mateo,94402,3,2,2020,0.165,1940,2,Single Family Residence,2349000
11,430 Costa Rica Ave,San Mateo,94402,4,3.5,3084,0.172,1941,2,Single Family Residence,3295000
12,715 Nevada Ave,San Mateo,94402,3,2.5,2530,0.138,1948,1,Single Family Residence,2648000
13,64 Valley View Ct,San Mateo,94402,3,2,1830,0.253,1963,2,Single Family Residence,1988888
14,141 W Bellevue Ave,San Mateo,94402,4,3.5,3980,0.428,1907,3,Single Family Residence,4950000
15,408 Warren Rd,San Mateo,94402,5,5,5097,0.367,1917,4,Single Family Residence,3980000
16,901 Bromfield Rd,San Mateo,94402,4,3,3340,0.206,1930,2,Single Family Residence,3900000
17,400 Warren Rd,San Mateo,94402,4,4.5,3800,0.278,1908,3,Single Family Residence,3988888
0,107 Grand Blvd,San Mateo,94401,2,1,1060,0.082,1918,1,Single Family Residence,1198000
1,114 N Claremont St,San Mateo,94401,3,1,1370,0.132,1902,0,Single Family Residence,950000
2,128 Prague,San Mateo,94401,2,1,1200,0.115,1947,1,Single Family Residence,999000
3,1101 Norton St,San Mateo,94401,6,2,1990,0.13,1951,0,Single Family Residence,1250000
4,120 Prague St,San Mateo,94401,3,2,1594,0.115,1947,1,Single Family Residence,1250000
5,1521 2nd Ave,San Mateo,94401,3,1,970,0.115,1944,1,Single Family Residence,950000
6,193 Barroilhet Ave,San Mateo,94401,3,2,2070,0.103,1930,1,Single Family Residence,2288000
7,204 Ottawa St,San Mateo,94401,5,2,2010,0.124,1954,2,Single Family Residence,1399000
0,131 Winchester Ct,Foster City,94404,4,2,1470,0.122,1970,2,Single Family Residence,1698000
1,616 Greenwich Ln,Foster City,94404,4,3.5,2795,0.136,1977,2,Single Family Residence,2750000
2,1199 Marlin Ave,Foster City,94404,3,2,1890,0.125,1966,2,Single Family Residence,1825000
3,1199 Marlin Ave,Foster City,94404,3,2,1890,0.125,1966,2,Single Family Residence,1825000
4,610 Anacapa Ln,Foster City,94404,3,2,1940,0.146,1986,2,Single Family Residence,1888000
5,729 Tender Ln,Foster City,94404,4,3,2710,0.151,1987,2,Single Family Residence,2450000
6,360 Sunfish Ct,Foster City,94404,4,2,1900,0.209,1969,2,Single Family Residence,1688000
7,1010 Pizarro Ln,Foster City,94404,4,3,2370,0.121,1974,2,Single Family Residence,1990000
8,700 Crane Ave,Foster City,94404,5,3,2267,0.161,1965,2,Single Family Residence,1998000
9,904 Flying Fish St,Foster City,94404,4,2.5,2322,0.193,1966,2,Single Family Residence,2188000
10,604 Cornwallis Ln,Foster City,94404,5,3,2250,0.122,1979,3,Single Family Residence,2300000
11,969 Pizarro Ln,Foster City,94404,4,2.5,2760,0.083,1975,2,Single Family Residence,1988000
0,546 Paris St,San Francisco,94112,2,1,1250,0.057,1925,2,Single Family Residence,899000
0,1194 Saratoga Ave,East Palo Alto,94303,4,3,1020,0.133,1950,3,Single Family Residence,960000
1,1119 Newbridge St,East Palo Alto,94303,3,1,1140,0.156,1950,2,Single Family Residence,1068000
2,2251 Poplar Ave,East Palo Alto,94303,2,1,1010,0.115,1937,1,Single Family Residence,948000
3,760 Moreno Ave,Palo Alto,94303,4,3.5,3430,0.204,2019,1,Single Family Residence,5498888
4,3170 Ross Rd,Palo Alto,94303,4,2.5,2550,0.203,1952,2,Single Family Residence,3488000
5,2367 Poplar Ave,East Palo Alto,94303,2,1,776,0.149,1940,1,Single Family Residence,950000
6,1015 Laurel Ave,East Palo Alto,94303,4,3,1991,0.149,1953,0,Single Family Residence,1249700
7,2367 Poplar Ave,East Palo Alto,94303,2,1,776,0.149,1940,1,Single Family Residence,950000
8,2536 Hazelwood Way,East Palo Alto,94303,3,2,1100,0.135,1956,2,Single Family Residence,1087000
9,704 Seminole Way,Palo Alto,94303,3,2,1144,0.169,1954,2,Single Family Residence,2688000
10,2312 Louis Rd,Palo Alto,94303,2,2,1616,0.21,1971,2,Single Family Residence,2988000
11,926 Colonial Ln,Palo Alto,94303,4,3.5,2384,0.143,2019,1,Single Family Residence,4098000
12,2938 Ross Rd,Palo Alto,94303,5,5.5,3575,0.138,2019,204,Single Family Residence,4988000
13,175 Green St,East Palo Alto,94303,3,1,1010,0.115,1955,2,Single Family Residence,1198000
14,2845 Fordham St,East Palo Alto,94303,3,1,1030,0.115,1953,1,Single Family Residence,999000
15,1532 Kavanaugh Dr,East Palo Alto,94303,3,2,1150,0.129,1956,2,Single Family Residence,1099000
16,898 Bell St,East Palo Alto,94303,3,2,1310,0.232,1914,2,Single Family Residence,1400000
17,2052 Pulgas Ave,East Palo Alto,94303,3,1,1110,0.115,1951,2,Single Family Residence,986000
18,119 Lotus Way,East Palo Alto,94303,5,4,2750,0.27,1954,1,Single Family Residence,1598000
19,3650 Ross Rd,Palo Alto,94303,5,3.5,2610,0.165,2018,1,Single Family Residence,4098000
20,2783 Randers Ct,Palo Alto,94303,5,5.5,4955,0.191,2010,2,Single Family Residence,5280000
0,1127 Fulton St,Palo Alto,94301,2,1.5,1082,0.129,1920,0,Single Family Residence,2500000
1,2130 Byron St,Palo Alto,94301,5,4.5,4591,0.152,2017,1,Single Family Residence,7495000
2,118 Churchill Ave,Palo Alto,94301,5,5,3713,0.172,2012,2,Single Family Residence,4988000
3,328 Churchill Ave,Palo Alto,94301,5,5.5,4611,0.224,1987,2,Single Family Residence,5988000
4,369 Churchill Ave,Palo Alto,94301,5,8.5,10877,1.123,1917,3,Single Family Residence,39988000
5,526 Center Dr,Palo Alto,94301,4,3.5,3131,0.326,1931,2,Single Family Residence,6500000
6,595 Lincoln Ave,Palo Alto,94301,4,3.5,3204,0.115,2006,1,Single Family Residence,4500000
7,439 Lincoln Ave,Palo Alto,94301,5,3.5,3652,0.461,1929,2,Single Family Residence,11800000
8,113 Byron St,Palo Alto,94301,3,2.5,2224,0.129,2007,1,Single Family Residence,3529000
9,1220 Hamilton Ave,Palo Alto,94301,2,2,2056,0.178,1938,2,Single Family Residence,3988000
10,51 Crescent Dr,Palo Alto,94301,5,6.5,7145,0.52,1927,3,Single Family Residence,16800000
11,154 Tennyson Ave,Palo Alto,94301,3,2,1820,0.115,1960,2,Single Family Residence,2895000
12,530 Kellogg Ave,Palo Alto,94301,4,2,2547,0.129,1918,0,Single Family Residence,3475000
13,224 N California Ave,Palo Alto,94301,2,1.5,886,0.042,1934,1,Single Family Residence,1898000
