,Address,City,State,Zip,Price,Beds,Baths,Home size,Lot size,Latitude,Longitude
23,"
                  105 Vienna St,
                  ",San Francisco,CA,94112,"$705,000",2,1,924,"1,742",37.726431,-122.425616
24,"
                  2217 San Jose Ave,
                  ",San Francisco,CA,94112,"$998,000",2,1.5,900,"2,614",37.72124,-122.445784
25,"
                  355 Granada Ave,
                  ",San Francisco,CA,94112,"$1,295,000",3,2,,,37.724938,-122.457546
26,"
                  275 Santa Rosa Ave,
                  ",San Francisco,CA,94112,"$1,499,126",5,2,"1,393","4,356",37.728426,-122.4397
27,"
                  130 Josiah Ave,
                  ",San Francisco,CA,94112,"$848,000",2,2,,"2,614",37.717562,-122.453906
28,"
                  120 Brunswick St,
                  ",San Francisco,CA,94112,"$899,000",2,1,"1,182","2,614",37.711785,-122.439549
29,"
                  2691 Alemany Blvd,
                  ",San Francisco,CA,94112,"$899,000",2,1,"1,238","1,742",37.713811,-122.448529
30,"
                  242 Minerva St,
                  ",San Francisco,CA,94112,"$1,128,000",4,4,,"3,049",37.716001,-122.460692
31,"
                  342 Delano Ave,
                  ",San Francisco,CA,94112,"$1,150,000",3,3,"2,224","3,049",37.723853,-122.443129
32,"
                  355 Ney St,
                  ",San Francisco,CA,94112,"$749,950",2,1,862,"1,742",37.730711,-122.423468
33,"
                  174 Majestic Ave,
                  ",San Francisco,CA,94112,"$899,000",3,2,"1,356","2,614",37.715969,-122.45309
34,"
                  218 Thrift St,
                  ",San Francisco,CA,94112,"$949,000",2,1,"1,150","3,049",37.717711,-122.459844
35,"
                  39 Chicago Way,
                  ",San Francisco,CA,94112,"$898,888",2,1,990,"3,485",37.710199,-122.429008
36,"
                  125 Margaret Ave,
                  ",San Francisco,CA,94112,"$998,000",4,2,"1,502","2,614",37.716863,-122.452751
37,"
                  546 Paris St,
                  ",San Francisco,CA,94112,"$899,000",2,1,"1,250","2,614",37.720196,-122.436399
38,"
                  212 Sagamore St,
                  ",San Francisco,CA,94112,"$1,095,000",4,2,"1,501","3,049",37.711693,-122.459438
1,"
                  4277 23rd St,
                  ",San Francisco,CA,94114,"$1,595,000",2,1,,"2,614",37.752414,-122.438024
2,"
                  4144 23rd St,
                  ",San Francisco,CA,94114,"$1,595,000",2,1.5,"1,320","2,848",37.753072,-122.435327
3,"
                  52 Caselli Ave,
                  ",San Francisco,CA,94114,"$1,680,000",3,1,"1,250","3,023",37.759963,-122.440546
4,"
                  3767 23rd St,
                  ",San Francisco,CA,94114,"$2,995,000",4,3,"2,491","2,178",37.753126,-122.426866
5,"
                  446 Hill St,
                  ",San Francisco,CA,94114,"$2,895,000",4,3,"2,137","3,049",37.755736,-122.431124
6,"
                  1081 Church St,
                  ",San Francisco,CA,94114,"$1,995,000",3,3,,"1,742",37.753633,-122.427351
7,"
                  740 Diamond St,
                  ",San Francisco,CA,94114,"$1,995,000",3,1.5,,,37.751326,-122.436589
8,"
                  4406 24th St,
                  ",San Francisco,CA,94114,"$1,585,000",2,1,"1,011","1,742",37.751061,-122.440866
9,"
                  42 Graystone Ter,
                  ",San Francisco,CA,94114,"$2,150,000",3,2.5,"2,600","2,614",37.75843,-122.447619
10,"
                  51 Ord St,
                  ",San Francisco,CA,94114,"$3,600,000",4,4,,"1,942",37.762993,-122.440018
11,"
                  4127 20th St,
                  ",San Francisco,CA,94114,"$3,495,000",4,2.5,,"3,049",37.757534,-122.433159
12,"
                  4376 17th St,
                  ",San Francisco,CA,94114,"$3,295,000",3,3.5,,"2,178",37.762245,-122.442614
13,"
                  617 Elizabeth St,
                  ",San Francisco,CA,94114,"$1,595,000",3,1.5,"1,380","2,614",37.751821,-122.434637
14,"
                  639 Grand View Ave,
                  ",San Francisco,CA,94114,"$3,395,000",3,3.5,"3,660","3,920",37.750073,-122.442345
15,"
                  4310 23rd St,
                  ",San Francisco,CA,94114,"$2,795,000",4,3.5,,,37.752843,-122.439144
16,"
                  24 Clarendon Ave,
                  ",San Francisco,CA,94114,"$4,400,000",4,3.5,"4,437","4,356",37.759132,-122.449312
17,"
                  4642 19th St,
                  ",San Francisco,CA,94114,"$1,985,000",2,1.5,"1,800","2,178",37.759175,-122.441529
18,"
                  258 Caselli Ave,
                  ",San Francisco,CA,94114,"$2,595,000",5,3.5,"2,832","1,742",37.759269,-122.443893
