,Unnamed: 0,Address,City,Zip,Beds,Baths,Home size,Lot size,Year built,Garage,Home type,Price,Longitude,Latitude
78,2,95 Vicente Rd,Berkeley,94705,4,3.5,4568,0.19399999999999998,2004,2,Single Family Residence,3500000,-122.234867881986,37.8562425105515
79,3,3057 Hillegass Ave,Berkeley,94705,4,2.5,2812,0.128,1908,1,Single Family Residence,2195000,-122.254806080304,37.8546053858956
80,4,7287 Claremont Avenue,Berkeley,94705,5,5.0,4966,0.28,1920,1,Single Family Residence,2985000,-122.2486008,37.8539987
81,5,7287 Claremont Avenue,Berkeley,94705,3,3.0,1744,0.213,1920,1,Single Family Residence,1545000,-122.2486008,37.8539987
82,6,7287 Claremont Avenue,Berkeley,94705,3,2.5,1647,0.18600000000000003,1920,2,Single Family Residence,1495000,-122.2486008,37.8539987
83,7,6948 Norfolk Rd,Berkeley,94705,4,3.5,2944,0.105,2007,2,Single Family Residence,1695000,0.0,0.0
84,8,1076 Siler Pl,Berkeley,94705,3,2.5,2032,0.157,1997,2,Single Family Residence,1388800,0.0,0.0
85,9,33 Tanglewood Rd,Berkeley,94705,5,4.0,3758,0.26,1922,2,Single Family Residence,2950000,-122.244107,37.860955
86,10,1072 Siler Pl,Berkeley,94705,4,4.5,4000,0.16,2011,2,Single Family Residence,1599000,0.0,0.0
87,11,6880 Buckingham Blvd,Berkeley,94705,4,3.5,3550,0.081,2018,2,Single Family Residence,1599000,0.0,0.0
88,12,11 Drury Ct,Berkeley,94705,5,5.0,6000,0.6,2005,2,Single Family Residence,3788000,0.0,0.0
89,13,2967 Avalon Avenue,Berkeley,94705,7,5.0,5421,0.28,1907,2,Single Family Residence,3899999,-122.246428840988,37.8598410533343
90,14,7026 Devon Way,Oakland,94705,6,5.0,4613,0.124,2018,2,Single Family Residence,2899900,-122.22507704556,37.8599316568748
91,15,7112 Westmoorland,Berkeley,94705,4,3.5,4070,0.132,2002,2,Single Family Residence,1499000,0.0,0.0
92,0,18800 Melvin Ave,Sonoma,95476,3,1.5,1105,0.165,1956,0,Single Family Residence,674888,-122.474940879024,38.3064319888595
93,0,2004 Faymont Ave,Manhattan Beach,90266,3,2.0,1505,0.124,1950,2,Single Family Residence,1599000,-118.37995475522,33.8924934635504
94,1,3212 Palm Ave,Manhattan Beach,90266,4,3.0,2558,0.107,1953,2,Single Family Residence,2349000,-118.401585603112,33.8987196574783
95,2,401 10th St,Manhattan Beach,90266,4,3.5,4100,0.062,2005,3,Single Family Residence,5850000,-118.407733516478,33.8843399678613
96,3,229 8th St,Manhattan Beach,90266,5,5.0,4145,0.062,2019,3,Single Family Residence,8995000,-118.408692714286,33.88252
97,4,612 Anderson St,Manhattan Beach,90266,3,1.5,1700,0.075,1966,2,Single Family Residence,2199000,-118.399176009331,33.8827520272111
98,5,861 8th St,Manhattan Beach,90266,5,2.5,5656,0.132,2019,3,Single Family Residence,6299000,-118.401029612903,33.8838482903226
99,6,1613 Harkness St,Manhattan Beach,90266,3,1.0,1539,0.122,1950,2,Single Family Residence,1495000,-118.380980456702,33.8901254270545
