Address,City,State,Zip,Price,Beds,Baths,Home size,Lot size,Latitude,Longitude
1934 21st Ave,San Francisco,CA,94116,1919000,5,4,2084,3049,37.751589,-122.478106
2059 47th Ave,San Francisco,CA,94116,1699000,6,3,3470,3049,37.748066,-122.506468
2740 38th Ave,San Francisco,CA,94116,1798000,6,4,2990,3049,37.735739,-122.495276
2214 34th Ave,San Francisco,CA,94116,1549000,5,3,2575,2614,37.745735,-122.49171
2355 46th Ave,San Francisco,CA,94116,1288000,3,2,1550,3001,37.742591,-122.505008
2071 35th Ave,San Francisco,CA,94116,1289000,4,3,1766,3049,37.748429,-122.493596
2066 23rd Ave,San Francisco,CA,94116,1235000,2,2,1350,3049,37.749095,-122.480083
2275 26th Ave,San Francisco,CA,94116,1595000,3,1,1600,3049,37.745059,-122.483685
866 Pacheco St,San Francisco,CA,94116,1698000,3,2.5,1864,3920,37.753955,-122.469449
2230 31st Ave,San Francisco,CA,94116,1385000,3,4,1455,3049,37.745606,-122.488436
2180 Funston Ave,San Francisco,CA,94116,1889000,4,3,2600,3049,37.747501,-122.469123
2295 14th Ave,San Francisco,CA,94116,1740000,3,2,2048,2178,37.745288,-122.470651
2405 32nd Ave,San Francisco,CA,94116,2900000,5,5,3964,3049,37.742016,-122.489729
2711 40th Ave,San Francisco,CA,94116,1300000,4,2,1212,1751,37.736176,-122.49802
2046 48th Ave,San Francisco,CA,94116,1895000,4,2.5,2030,3049,37.748253,-122.506898
2100 46th Ave,San Francisco,CA,94116,1395000,3,2,1803,3049,37.747238,-122.504685
2260 15th Ave,San Francisco,CA,94116,1598888,3,2,1550,2614,37.74587,-122.471061
70 Santa Rita Ave,San Francisco,CA,94116,2389000,3,2.5,2520,3485,37.747358,-122.464733
1151-1153 Fell St,San Francisco,CA,94117,1900000,4,2,2788,2614,37.773918,-122.436796
1543 Cole St,San Francisco,CA,94117,3895000,3,3.5,3036,2614,37.760226,-122.449119
1517 Shrader St,San Francisco,CA,94117,2680000,4,2,2430,4356,37.761111,-122.450888
294 Upper Ter,San Francisco,CA,94117,1895000,3,2,,2178,37.762716,-122.445586
