Zip,School score
94952,50.41466416
94954,48.79016667
94956,40.15214286
94957,80.76642857
94960,75.1075
94963,45.69090909
94965,36.59776786
94971,43.2025
95002,48.71875
95003,48.14966667
95004,44.535
95006,45.2365625
95008,52.22180556
95010,56.00625
95012,26.71841667
95014,85.64214286
95017,62.149
95018,54.44174107
95019,24.45
95020,45.92814732
95023,46.11579315
95030,72.67
95032,79.386875
95033,74.6709375
95035,61.17325641
95037,44.87660714
95045,29.69928571
95046,22.65416667
95050,48.97458333
95051,54.77294872
95054,51.80258929
95060,56.10208333
95062,46.4156044
95065,59.24091667
95066,69.91541667
95070,84.65017094
95073,57.06
95075,31.04416667
95076,24.03908425
95110,32.40370833
95111,40.39354365
95112,30.02973214
95116,33.32590126
95117,39.23772321
95118,53.5975
95119,55.96144444
95120,77.52828125
95121,52.39101429
95122,38.78761333
95123,45.6201808
95124,69.5473539
95125,48.66123512
95126,33.6975
95127,31.78728046
95128,43.51948571
95129,85.32222222
95130,69.78260714
95131,28.3055017
95132,63.04170455
95133,37.01660714
95135,84.16511111
95136,39.49375
95138,75.7165
95139,49.870625
95148,52.48251299
95202,32.71256696
95203,26.22585714
95204,28.26316964
95205,22.49564286
95206,18.01276587
95207,37.65061415
95209,35.97984249
95210,33.25797321
95212,42.82730119
95213,5.275
95215,27.82912054
95219,45.5098
95220,34.96928571
95221,48.865
95222,35.71571429
95223,41.715
95224,55.66
95228,31.272
95230,25.34375
95231,23.15642857
95236,43.555
95237,35.91928571
95240,28.81560852
95242,40.3387
95245,43.81625
95247,54.51
95248,31.5825
95249,29.85453125
95252,27.20766667
95253,26.887
95255,40.98125
95291,58.135
95301,37.08963889
95303,38.44214286
95304,32.396127
95306,47.23
95307,33.18473214
95309,51.725
95310,33.37285714
95311,21.795
95313,50.34125
95315,29.5022
95316,37.25444444
95317,25.47928571
95318,47.58
95319,34.842
95320,34.53172619
95321,24.63678571
95322,20.5955
95323,55.64696429
95324,30.37041667
95326,41.59841667
95327,29.89928571
95328,46.4853125
95329,31.7825
95330,36.8096131
95331,29.63
95333,35.64428571
95334,31.3935
95336,35.13291209
95337,32.37119048
95338,44.84952381
95340,31.331125
95341,28.95262798
95344,32.61
95348,32.58455556
95350,33.03672201
95351,21.71696429
95354,30.9355
95355,47.9781875
95356,42.89847619
95357,27.889
95358,33.55491171
95360,32.10875
95361,38.93012987
95363,27.49494792
95365,21.99625
95366,53.58
95367,33.36589286
95368,40.9909375
95369,33.055
95370,32.43539286
95372,38.69142857
95374,15.61714286
95376,35.30797884
95377,51.0457619
95379,43.62535714
95380,24.69120455
95382,39.20471429
95383,49.995
95386,38.84469907
95387,32.88875
95388,40.40275
95389,71.425
95391,65.25671429
95401,35.16119218
95403,29.4953
95404,35.8085
95405,56.57575
95407,35.0895
95409,58.95366667
95412,22.195
95415,40.707375
95421,39.3925
95422,20.01579365
95423,10.03
95425,33.42511111
95428,13.63461538
95436,42.77244444
95437,38.444875
95441,41.322375
95442,22.355
95446,37.53705357
95448,47.48554167
95451,26.35375
95452,62.078
95453,39.72222222
95454,39.7
95457,18.91111111
95458,20.79928571
95459,21.74
95460,52.01714286
95461,40.22117857
95462,40.818
95465,52.62357143
95468,21.75857143
95469,30.32037037
95470,28.097
95472,51.47951557
95473,66.21214286
95476,33.22666071
95482,31.39451638
95485,23.29916667
95490,29.98541667
95492,34.08625992
95501,31.04734217
95503,41.04480303
95514,54.165
95519,43.11638393
95521,50.39014286
95524,76.31285714
95525,33.27
95526,24.9075
95527,30.398
95528,34.40909091
95531,26.80685357
95536,38.84535714
95540,32.32146259
95543,24.148
95546,12.92136364
95547,54.24214286
95548,20.19
95549,23.81
95551,15.03333333
95553,33.37833333
95555,22.725
95556,27.115
95558,41.9765625
95560,37.072
95562,21.36
95564,25.525
95565,38.13357143
95567,31.49571429
95568,5
95570,46.95714286
95571,26.73166667
95573,17.63
95585,25.16
95589,33.08416667
95602,40.32
95603,38.59130026
95605,21.59178571
95608,34.69753571
95610,26.30382143
95612,41.36888889
95614,37.681
95615,31.724
95616,65.6342619
95618,61.805
95619,10
95620,38.7775
95621,30.36854592
95623,45.43611111
95624,52.14901681
95626,17.54083333
95627,27.47125
95628,38.24671032
95630,70.08021667
95631,49.36
95632,43.16858333
95633,33.41875
95634,33.06816667
95638,43.91428571
95640,34.75
95641,60.66
95642,32.90345833
95645,40.121
95648,47.77317308
95650,68.9175
95652,31.49190476
95655,38.09444444
95658,58.83589286
95659,41.80735119
95660,27.1086622
95661,61.82057292
95662,49.20533333
95663,63.18857143
95666,26.563
95667,42.55891667
95668,57.57357143
95669,35.49533333
95670,37.36022857
95672,65.44958333
95673,38.2131216
95674,33.94285714
95676,47.81071429
95677,65.17211111
95678,44.76526042
95681,25.0725
95682,66.35472959
95683,70.025
95684,30.37277778
95685,35.10325
95686,33.84642857
95687,42.51527165
95688,46.77149735
95690,43.151
95691,39.14421429
95692,41.26527778
95693,61.592
95694,34.155
95695,30.04775556
95697,5.88
95701,52.376
95709,48.0889881
95713,40.90928571
95722,56.96
95726,34.95833333
95736,57.83083333
95742,70.5885
95746,67.15381944
95747,62.57002551
95757,61.30302273
95758,51.33644444
95762,69.46033333
95765,63.56002827
95776,41.9955
95814,32.452
95815,22.6055
95816,57.49883333
95817,28.56721429
95818,37.3685
95819,60.0383125
95820,27.81262662
95821,34.17870455
95822,26.25652154
95823,24.87707584
95824,18.37280952
95825,13.2079
95826,40.08685714
95827,23.76705952
95828,27.95642424
95829,51.48026667
95831,42.61295714
95832,24.19228571
95833,29.792875
95834,36.72672083
95835,43.6108817
95838,27.51187987
95841,37.94928571
95842,35.67292063
95843,42.25897727
95864,44.0114898
95901,34.01246071
95903,53.62020833
95912,36.525
95914,30.61
95916,29.69
95917,21.99160714
95918,57.9075
95922,68.57
95925,21.45875
95926,43.28775102
95928,43.65763393
95932,40.77361111
95935,17.5
95936,32.145
95938,50.91125
95939,23.9725
95942,45.978
95945,41.4840034
95946,42.43946429
95947,30.19263889
95948,43.7815
95949,45.67683673
95950,17.065
95951,31.80071429
95953,42.2180085
95954,26.44297619
95955,29.05458333
95957,26.80466667
95959,37.33517202
95961,32.21771212
95962,39.723
95963,36.69316837
95965,27.84363095
95966,28.84662879
95968,14.295625
95969,42.12896164
95970,30.944375
95971,39.58995833
95973,47.95285714
95974,64.585
95982,30.69452381
95987,19.295
95988,26.2335625
95991,32.63428571
95993,37.23644841
