School Code,Score,Zip Code,School Name
117069,34.515,90028,Helen Bernstein High
6017354,34.581,90028,Grant Elementary
1934033,43.96,90028,Hollywood Senior High
6016471,48.864,90028,Cheremoya Avenue Elementary
126177,54.215,90028,Citizens Of The World Charter School Silver Lake
125989,56.105,90028,Stem Academy At Bernstein High
122556,75.88875,90028,Citizens Of The World Charter School Hollywood
6018824,26.909,90029,Ramona Elementary
6017909,34.547,90029,Lockwood Avenue Elementary
109405,40.4525,90029,Kingsley Elementary
6058085,54.07,90029,Thomas Starr King Middle School Film And Media Mag
1930577,4.55,90031,Pueblo De Los Angeles Continuation
6017594,18.62,90031,Hillside Elementary
1996610,19.984,90031,Los Angeles Leadership Academy
124818,25.74,90031,Los Angeles Leadership Primary Academy
112201,26.8225,90031,Puc Excel Charter Academy
6015705,30.038,90031,Albion Street Elementary
120048,30.15375,90031,Alliance College-Ready Middle Academy 5
6017248,32.05125,90031,Gates Street Elementary
6017396,34.50125,90031,Griffin Avenue Elementary
6017297,37.37571429,90031,Glen Alta Elementary
123133,37.5,90031,Alliance Susan And Eric Smidt Technology High
1935121,39.25,90031,Abraham Lincoln Senior High
6017800,49.057,90031,Latona Avenue Elementary
132282,50,90031,Ednovate - East College Prep
6016802,51.311,90031,Dorris Place Elementary
102426,57.43,90031,Puc Milagro Charter
6017008,24.99625,90032,Farmdale Elementary
109439,28.355,90032,Cesar Chavez Elementary
1939859,29.405,90032,Woodrow Wilson Senior High
132928,31.11625,90032,Anahuacalmecac International University Preparator
6019210,31.465,90032,Sierra Park Elementary
6068431,34.445,90032,El Sereno Middle
6017669,38.159,90032,Huntington Drive Elementary
6016877,42.054,90032,El Sereno Elementary
6018253,45.275,90032,Multnomah Street Elementary
6019228,48.337,90032,Sierra Vista Elementary
1933399,59.65,90032,L.A. County High School For The Arts
111658,60.355,90032,Alliance Marc & Eva Stern Math And Science
1932821,5.88,90033,Boyle Heights Continuation
129536,15.28,90033,Boyle Heights Stem High
6017099,17.092,90033,First Street Elementary
6018261,18.354,90033,Murchison Street Elementary
6019178,23.944,90033,Sheridan Street Elementary
6019095,24.966,90033,Second Street Elementary
6019632,26.56785714,90033,Utah Street Elementary
1937424,29.67,90033,Theodore Roosevelt Senior High
6016976,31.132,90033,Evergreen Avenue Elementary
6016091,31.7875,90033,Bridge Street Elementary
6016075,35.68,90033,Breed Street Elementary
124198,35.85,90033,Extera Public
119966,39.19,90033,Felicitas And Gonzalo Mendez High
122333,59.345,90033,"Math, Science, & Technology Magnet Academy At Roos"
1995448,70.905,90033,Francisco Bravo Medical Magnet High
1931336,23.08,90034,Cheviot Hills Continuation
6018659,31.84875,90034,Palms Elementary
1933852,33.83,90034,Alexander Hamilton Senior High
6016448,39.07625,90034,Charnock Road Elementary
6019160,39.87375,90034,Shenandoah Street Elementary
117648,42.01375,90034,Magnolia Science Academy 6
6058226,52.8275,90034,Palms Middle
6016398,65.365,90034,Castle Heights Elementary
6016521,84.02375,90034,Clover Avenue Elementary
6016653,31.315,90035,Crescent Heights Boulevard Elementary
1932847,56.623,90035,Los Angeles Center For Enriched Studies
6016281,67.4525,90035,Canfield Avenue Elementary
6019970,21.09375,90036,Wilshire Crest Elementary
1931856,28.57,90036,Whitman Continuation
6017453,66.71,90036,Hancock Park Elementary
6018410,21.1725,90037,Normandie Avenue Elementary
1935519,21.185,90037,Manual Arts Senior High
126417,21.97875,90037,Marguerite Poindexter Lamotte Elementary
6017065,24.33875,90037,Fifty-Second Street Elementary
6112536,35.14285714,90037,Accelerated
6019889,35.50875,90037,West Vernon Avenue Elementary
100743,37.779,90037,Accelerated Charter Elementary
129460,42.10833333,90037,Kipp Vida Preparatory Academy
6018139,42.4425,90037,Menlo Avenue Elementary
100750,43.385,90037,Wallis Annenberg High
135954,45.60357143,90037,Celerity Himalia Charter
114967,61.1875,90037,Global Education Academy
111492,64.445,90037,Alliance Patti And Peter Neuwirth Leadership Acade
6019772,20.15,90038,Vine Street Elementary
6057871,25.18875,90038,Hubert Howe Bancroft Middle
6019079,39.72,90038,Santa Monica Boulevard Community Charter
109298,58.82,90038,Hollywood Primary Center
6017305,29.268,90039,Glenfeliz Boulevard Elementary
6015895,35.858,90039,Atwater Avenue Elementary
6016513,60.344,90039,Clifford Street Elementary
6015739,64.929,90039,Allesandro Elementary
6017685,80.62625,90039,Ivanhoe Elementary
121905,8.01,90040,"Kirby, Dorothy Camp"
6020648,24.76428571,90040,Rosewood Park
6020507,33.52875,90040,Bandini Elementary
6019509,29.965,90041,Toland Way Elementary
1932540,49.795,90041,Eagle Rock High
6018949,52.694,90041,Rockdale Visual & Performing Arts Magnet
6016687,55.572,90041,Dahlia Heights Elementary
135947,58.3775,90041,Celerity Rolas Charter
6016836,63.961,90041,Eagle Rock Elementary
135129,65.7725,90041,Puc International Preparatory Academy
127522,5.88,90042,Optimist Charter
1931393,12.5,90042,Highland Park Continuation
6015838,20.07375,90042,Annandale Elementary
6018212,21.73,90042,Monte Vista Street Elementary
6016216,22.38875,90042,Bushnell Way Elementary
109926,25.933,90042,Academia Avance Charter
109942,28.725,90042,Los Angeles International Charter High
6015713,28.9025,90042,Aldama Elementary
6019046,35.68625,90042,San Pascual Elementary Science Technology Engineer
6016166,36.6875,90042,Buchanan Street Elementary
6017230,38.617,90042,Garvanza Elementary
6057897,39.39375,90042,Luther Burbank Middle
1933043,43.875,90042,Benjamin Franklin Senior High
1932896,44.48071429,90042,Arroyo Seco Museum Science
6020069,50.3825,90042,Yorkdale Elementary
1930403,5.56,90043,Whitney Young Continuation
1932128,8.145,90043,"Crenshaw Science, Technology, Engineering, Math An"
6017677,13.6525,90043,Yes Academy
6017057,17.62428571,90043,Fifty-Ninth Street Elementary
6017040,19.23875,90043,Fifty-Fourth Street Elementary
6121081,20.59375,90043,Icef View Park Preparatory Charter Middle
101196,23.625,90043,Icef View Park Preparatory Charter High
6015804,24.9475,90043,Angeles Mesa Elementary
117952,25.1025,90043,Icef Innovation Los Angeles Charter
6117048,25.475,90043,Icef View Park Preparatory Charter
128009,28.43,90043,Alliance Leadership Middle Academy
6019996,32.04375,90043,Windsor Hills Math Science
111641,32.722,90043,Alliance Ouchi-O'donovan 6-12 Complex
124891,42.65,90043,Alliance Renee And Meyer Luskin Academy High
132845,43.23642857,90043,Today's Fresh Start-Compton
1995794,3.265,90044,Youth Opportunities Unlimited
6058044,6.558571429,90044,Bret Harte Preparatory Middle
117945,12.65583333,90044,Icef Lou Dantzler Preparatory Academy
126508,13.125,90044,Augustus F. Hawkins High C Responsible Indigenous 
6019863,13.80625,90044,West Athens Elementary
126490,15.045,90044,Augustus F. Hawkins High B Community Health Advoca
6058176,16.23875,90044,John Muir Middle
129874,20.06071429,90044,Community Preparatory Academy
6019244,21.004,90044,Gil Garcetti Learning Academy
6018840,21.97125,90044,Raymond Avenue Elementary
6018337,22.4075,90044,Ninety-Fifth Street Elementary
6066278,23.601,90044,Loren Miller Elementary
126482,24.39,90044,Augustus F. Hawkins High A Critical Design And Gam
126425,24.438,90044,"Gerald A. Lawson Academy Of The Arts, Mathematics "
6016174,24.68625,90044,Budlong Avenue Elementary
117598,25.4,90044,Alliance Piera Barbaglia Shaheen Health Services A
6018022,25.99,90044,Manchester Avenue Elementary
6020028,26.7875,90044,Woodcrest Elementary
6017073,30.15375,90044,Figueroa Street Elementary
1939479,22.345,90045,Wesm Health/Sports Medicine
6058382,30.0175,90045,Orville Wright Engineering And Design Magnet
6019921,35.9825,90045,Westport Heights Elementary
135707,41.105,90045,Katherine Johnson Stem Academy
112508,47.735,90045,Bright Star Secondary Charter Academy
6017982,47.83875,90045,Loyola Village Fine And Performing Arts Magnet
6017719,54.3125,90045,Kentwood Elementary
135921,68.80571429,90045,Wish Community
6097927,72.025,90045,Open Charter Magnet
6016646,73.691,90045,Cowan Avenue Elementary
6017818,30.32857143,90046,Laurel Elementary
1932391,35.92,90046,West Hollywood Opportunity
1932920,37.525,90046,Fairfax Senior High
6017222,59.1675,90046,Gardner Street Elementary
108928,67.518125,90046,Larchmont Charter
6018113,69.13625,90046,Melrose Avenue Elementary
6020010,91.57625,90046,Wonderland Avenue Elementary
135681,3.354285714,90047,Horace Mann Ucla Community
6017750,9.34625,90047,La Salle Avenue Elementary
135996,11.12666667,90047,Boys Academic Leadership Academy
124024,12.675,90047,Animo Phillis Wheatley Charter Middle
1939305,13.18,90047,George Washington Preparatory High
122242,14.47333333,90047,Teach Academy Of Technologies
1931955,15.38,90047,Ellington (Duke) High (Continuation)
6018030,16.09875,90047,Manhattan Place Elementary
124016,21.40625,90047,Animo Western Charter Middle
102434,24.09,90047,Animo South Los Angeles Charter
6019145,30.825,90047,Seventy-Fourth Street Elementary
129627,38.66,90047,Teach Tech Charter High
102913,64.675,90047,Middle College High
6016372,41.8025,90048,Carthay Elementary Of Environmental Studies Magnet
6018980,47.77,90048,Rosewood Avenue Elementary
6016083,33.415,90049,Brentwood Science
6058267,69.03375,90049,Paul Revere Charter Middle
6094726,76.69125,90049,Community Magnet Charter Elementary
6017701,80.07625,90049,Kenter Canyon Elementary Charter
106948,21.12,90057,Charles White Elementary
6120810,23.94875,90057,Macarthur Park Elementary School For The Visual An
6117667,30.15857143,90057,Camino Nuevo Charter Academy
6019624,38.67875,90057,Union Avenue Elementary
6017610,13.667,90058,Holmes Avenue Elementary
6019749,41.26,90058,Vernon City Elementary
6018568,12.53375,90059,One Hundred Twelfth Street Elementary
6017362,13.705,90059,Grape Street Elementary
6018519,14.685,90059,One Hundred Ninth Street Elementary
124008,16.42375,90059,Animo James B. Taylor Charter Middle
6018485,16.50375,90059,Lovelia P. Flournoy Elementary
6023758,22.135,90059,Carver Elementary
6018543,29.06875,90059,One Hundred Sixteenth Street Elementary
131870,30.988,90059,Resolute Academy Charter
6018915,32.62875,90059,Ritter Elementary
